relays,eta,proposed,mpc,epc,bcd_iterations
3,1.0,0.000735872991508133,0.0008330530857962345,0.0009793708007482238,12
3,1.5,0.0003440845993767126,0.00039952320725354364,0.0007559937206469272,12
3,2.0,0.00013397978958479913,0.00016321008292153206,0.0006462144004684285,12
3,2.5,5.1310311308120844e-05,6.608031093165882e-05,0.0006075903271446485,12
3,3.0,2.2506337838809914e-05,2.947729705358662e-05,0.0005959388712389064,12
3,3.5,1.2233980334507458e-05,1.5470236441063078e-05,0.0005926122342405672,12
5,1.0,1.2531051075095992e-05,1.7213196829203702e-05,1.9856196752835122e-05,12
5,1.5,5.5788522942125045e-06,7.642220729302765e-06,1.6689499950078517e-05,12
5,2.0,1.9847270464692134e-06,2.779212058981374e-06,1.5354936035456196e-05,12
5,2.5,6.476291487034847e-07,9.545356449273931e-07,1.4957694547103539e-05,12
5,3.0,2.1131891058398674e-07,3.3887700640079843e-07,1.4858154377024013e-05,12
5,3.5,7.245950885921511e-08,1.2952851625176637e-07,1.483494689054789e-05,12
