relays,eta,proposed,mpc,epc
3,1.0,0.000689888054812304,0.0008067999416638218,0.0009486068745367649
3,1.5,0.0003003021913401628,0.0003868875497132436,0.0007322589865960053
3,2.0,0.00012970624034653,0.0001580221114071296,0.0006259341834898841
3,2.5,4.96678750001419e-05,6.39657546082014e-05,0.0005885255259701449
3,3.0,2.17785816575539e-05,2.852601184936336e-05,0.0005772407161073821
3,3.5,1.1854955079602e-05,1.496595366638472e-05,0.0005740187611592291
5,1.0,1.18735745326367e-05,1.632708501990849e-05,1.883593795265889e-05
5,1.5,5.28406505792625e-06,7.248015608513087e-06,1.583227753116838e-05
5,2.0,1.87916700309206e-06,2.635417422111544e-06,1.456642321672595e-05
5,2.5,6.13194739328546e-07,9.049484348425862e-07,1.418963358050305e-05
5,3.0,2.00103616907374e-07,3.211890103684296e-07,1.409521820453272e-05
5,3.5,6.86306432371014e-08,1.227335456746122e-07,1.407320554814264e-05
